genome,strain_name,name,species,fromtype,wgs,isolation_source
GCF_001411765.2,wikim20,Pediococcus pentosaceus (firmicutes),Pediococcus pentosaceus,,,kimchi
GCF_001411775.1,WIKIM21,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,LJIV01,Kimchi
GCF_001411765.1,wikim20,Pediococcus pentosaceus (firmicutes),Pediococcus pentosaceus,,LJIU01,kimchi
GCF_001368775.1,80,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,CBZW01,
GCF_001368755.1,222,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,CBZV01,
GCF_001368735.1,BPL15,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,CBZU01,
GCF_001331925.1,WLPL04,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LKCO01,breast of healthy woman
GCF_001314945.1,MP2,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,,gut
GCF_001433875.1,DSM 20074,Lactobacillus delbrueckii subsp. delbrueckii DSM 20074 = JCM 1012 (firmicutes),Lactobacillus delbrueckii,assembly from type material,AZCR01,sour grain mash
GCF_001433855.1,DSM 20054,Lactobacillus brevis ATCC 14869 = DSM 20054 (firmicutes),Lactobacillus brevis,assembly from type material,AZCP01,feces
GCF_001433815.1,KCTC 13174,Lactobacillus pobuzihii E100301 = KCTC 13174 (firmicutes),Lactobacillus pobuzihii,assembly from type material,AZCL01,"From pobuzih, fermented cummingcordia"
GCF_001433825.1,DSM 12361,Lactobacillus kunkeei DSM 12361 = ATCC 700308 (firmicutes),Lactobacillus kunkeei,assembly from type material,AZCK01,commercial grape wine undergoing a sluggish/stuck alcoholic fermentation
GCF_001433755.1,DSM 20314,Lactobacillus pentosus DSM 20314 (firmicutes),Lactobacillus pentosus,assembly from type material,AZCU01,Corn silage
GCF_001433765.1,DSM 20001,Lactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001 (firmicutes),Lactobacillus coryniformis,assembly from type material,AZCN01,silage
GCF_001433735.1,DSM 20011,Lactobacillus casei DSM 20011 = JCM 1134 (firmicutes),Lactobacillus casei,assembly from type material,AZCO01,cheese
GCF_001433745.1,DSM 20178,Lactobacillus zeae DSM 20178 = KCTC 3804 (firmicutes),Lactobacillus zeae,assembly from synonym type material,AZCT01,corn steep liquor
GCF_001421135.1,LAfl,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXCX01,
GCF_001421115.1,LAce,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,JXCW01,
GCF_001434115.1,DSM 19395,Lactobacillus zymae DSM 19395 (firmicutes),Lactobacillus zymae,,AZDW01,artisanal wheat sourdough
GCF_001434095.1,DSM 20203,Lactobacillus fructivorans KCTC 3543 = DSM 20203 (firmicutes),Lactobacillus fructivorans,assembly from type material,AZDS01,-
GCF_001434055.1,ATCC 53295,Lactobacillus parabrevis ATCC 53295 (firmicutes),Lactobacillus parabrevis,assembly from type material,AZCZ01,senmaizuke
GCF_001434065.1,DSM 20017,Lactobacillus sakei subsp. sakei DSM 20017 = JCM 1157 (firmicutes),Lactobacillus sakei,assembly from type material,AZDN01,Moto starter of sake
GCF_001433995.1,JCM 15530,Lactobacillus kimchicus JCM 15530 (firmicutes),Lactobacillus kimchicus,assembly from type material,AZCX01,Kimchi
GCF_001433985.1,DSM 20531,Lactobacillus amylovorus DSM 20531 (firmicutes),Lactobacillus amylovorus,assembly from type material,AZCM01,cattle waste-corn fermentation
GCF_001433975.1,ATCC 33200,Lactobacillus johnsonii ATCC 33200 (firmicutes),Lactobacillus johnsonii,assembly from type material,AZCY01,blood
GCF_001434005.1,DSM 20584,Lactobacillus crispatus DSM 20584 = JCM 1185 (firmicutes),Lactobacillus crispatus,assembly from type material,AZCW01,eye
GCF_001433915.1,DSM 23907,Lactobacillus pasteurii DSM 23907 = CRBIP 24.76 (firmicutes),Lactobacillus pasteurii,assembly from type material,AYZN01,crop
GCF_001433895.1,DSM 20079,Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951 (firmicutes),Lactobacillus acidophilus,assembly from type material,AZCS01,
GCF_001434315.1,DSM 15707,Lactobacillus oligofermentans DSM 15707 = LMG 22743 (firmicutes),Lactobacillus oligofermentans,assembly from type material,AZFE01,broiler leg
GCF_001434295.1,DSM 14857,Lactobacillus versmoldensis DSM 14857 = KCTC 3814 (firmicutes),Lactobacillus versmoldensis,assembly from type material,AZFA01,poultry salami
GCF_001434255.1,DSM 14421,Lactobacillus diolivorans DSM 14421 (firmicutes),Lactobacillus diolivorans,assembly from type material,AZEY01,maize silage
GCF_001434275.1,DSM 14500,Lactobacillus mindensis DSM 14500 (firmicutes),Lactobacillus mindensis,assembly from type material,AZEZ01,sourdough
GCF_001434215.1,DSM 10551,Lactobacillus parakefiri DSM 10551 (firmicutes),Lactobacillus parakefiri,assembly from type material,AZEN01,kefir grain
GCF_001434225.1,DSM 13675,Lactobacillus nagelii DSM 13675 (firmicutes),Lactobacillus nagelii,assembly from type material,AZEV01,partially fermented wine
GCF_001434195.1,DSM 10550,Lactobacillus kefiranofaciens subsp. kefirgranum DSM 10550 = JCM 8572 (firmicutes),Lactobacillus kefiranofaciens,assembly from type material,AZEM01,kefir grain
GCF_001434175.1,CGMCC 1.2437,Lactobacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437 (firmicutes),Lactobacillus plantarum,,AZEJ01,pickled cabbage
GCF_001434135.1,DSM 19906,Lactobacillus kisonensis DSM 19906 = JCM 15041 (firmicutes),Lactobacillus kisonensis,assembly from type material,AZEB01,non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)
GCF_001434145.1,DSM 19908,Lactobacillus otakiensis DSM 19908 = JCM 15040 (firmicutes),Lactobacillus otakiensis,assembly from type material,AZED01,non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)
GCF_001434535.1,DSM 20602,Lactobacillus animalis KCTC 3501 = DSM 20602 (firmicutes),Lactobacillus animalis,assembly from type material,AYYW01,dental plaque
GCF_001434515.1,DSM 5661,Lactobacillus hamsteri DSM 5661 = JCM 6256 (firmicutes),Lactobacillus hamsteri,assembly from type material,AZGI01,feces
GCF_001434475.1,DSM 5007,Lactobacillus suebicus DSM 5007 = KCTC 3549 (firmicutes),Lactobacillus suebicus,assembly from type material,AZGF01,apple mash
GCF_001434465.1,DSM 4864,Lactobacillus oris DSM 4864 (firmicutes),Lactobacillus oris,assembly from type material,AZGE01,saliva
GCF_001434455.1,DSM 18933,Lactobacillus hayakitensis DSM 18933 = JCM 14209 (firmicutes),Lactobacillus hayakitensis,assembly from type material,AZGD01,feces of thoroughbred horse
GCF_001434435.1,DSM 16761,Lactobacillus kitasatonis DSM 16761 = JCM 1039 (firmicutes),Lactobacillus kitasatonis,,AZFU01,intestine
GCF_001434395.1,DSM 16381,Lactobacillus hammesii DSM 16381 (firmicutes),Lactobacillus hammesii,assembly from type material,AZFS01,wheat sourdough
GCF_001434405.1,DSM 16634,Lactobacillus apodemi DSM 16634 = JCM 16172 (firmicutes),Lactobacillus apodemi,assembly from type material,AZFT01,"feces, wild Japanese wood mouse"
GCF_001434365.1,DSM 16045,Lactobacillus gastricus DSM 16045 (firmicutes),Lactobacillus gastricus,assembly from type material,AZFN01,"gastric biopsies, stomach mucosa"
GCF_001434335.1,DSM 16043,Lactobacillus kalixensis DSM 16043 (firmicutes),Lactobacillus kalixensis,assembly from type material,AZFM01,"gastric biopsies, stomach mucosa"
GCF_001434735.1,DSM 20057,Lactobacillus buchneri DSM 20057 (firmicutes),Lactobacillus buchneri,assembly from type material,AZDM01,tomato pulp
GCF_001434705.1,JCM 17158,Lactobacillus nasuensis JCM 17158 (firmicutes),Lactobacillus nasuensis,assembly from type material,AZDJ01,sudan grass Sorghum sudanense (piper) silage
GCF_001434695.1,DSM 15638,Lactobacillus algidus DSM 15638 (firmicutes),Lactobacillus algidus,,AZDI01,vacuum-packaged beef
GCF_001434665.1,DSM 20183,Lactobacillus tucceti DSM 20183 (firmicutes),Lactobacillus tucceti,assembly from type material,AZDG01,sausage
GCF_001434655.1,DSM 20176,Lactobacillus hilgardii DSM 20176 = ATCC 8290 (firmicutes),Lactobacillus hilgardii,assembly from type material,AZDF01,wine
GCF_001434635.1,DSM 20072,Lactobacillus delbrueckii subsp. lactis DSM 20072 (firmicutes),Lactobacillus delbrueckii,assembly from type material,AZDE01,emmental cheese
GCF_001434615.1,DSM 20016,Lactobacillus reuteri DSM 20016 (firmicutes),Lactobacillus reuteri,assembly from type material,AZDD01,intestine of adult
GCF_001434585.1,JCM 15951,Lactobacillus crustorum JCM 15951 (firmicutes),Lactobacillus crustorum,assembly from type material,AZDB01,Wheat sourdough
GCF_001434575.1,DSM 20003,Lactobacillus bifermentans DSM 20003 (firmicutes),Lactobacillus bifermentans,assembly from type material,AZDA01,blown cheese
GCF_001434555.1,DSM 20534,Lactobacillus amylotrophicus DSM 20534 (firmicutes),Lactobacillus amylotrophicus,assembly from type material,AZCV01,swine waste-corn fermentation
GCF_001434935.1,DSM 19971,Lactobacillus uvarum DSM 19971 (firmicutes),Lactobacillus uvarum,assembly from type material,AZEG01,must of Bobal grape variety
GCF_001434915.1,DSM 19910,Lactobacillus capillatus DSM 19910 (firmicutes),Lactobacillus capillatus,assembly from type material,AZEF01,isolated from fermented brine used for stinky tofu production
GCF_001434895.1,DSM 19909,Lactobacillus odoratitofui DSM 19909 = JCM 15043 (firmicutes),Lactobacillus odoratitofui,assembly from type material,AZEE01,fermented brine used for stinky tofu production
GCF_001434835.1,DSM 19394,Lactobacillus acidifarinae DSM 19394 (firmicutes),Lactobacillus acidifarinae,,AZDV01,artisanal wheat sourdough
GCF_001434815.1,DSM 19284,Lactobacillus equicursoris DSM 19284 = JCM 14600 = CIP 110162 (firmicutes),Lactobacillus equicursoris,assembly from type material,AZDU01,healthy thoroughbred racehorse
GCF_001434845.1,DSM 19519,Lactobacillus hordei DSM 19519 (firmicutes),Lactobacillus hordei,assembly from type material,AZDX01,malted barley
GCF_001434855.1,DSM 19674,Lactobacillus paralimentarius DSM 19674 (firmicutes),Lactobacillus paralimentarius,assembly from synonym type material,AZDY01,Spanish Bobal grape must
GCF_001434785.1,DSM 19117,Lactobacillus namurensis DSM 19117 (firmicutes),Lactobacillus namurensis,,AZDT01,"sourdough, manufactured with wheat, rye and spelt flour"
GCF_001434775.1,DSM 20184,Lactobacillus farciminis KCTC 3681 = DSM 20184 (firmicutes),Lactobacillus farciminis,assembly from type material,AZDR01,sausage
GCF_001434745.1,DSM 20249,Lactobacillus alimentarius DSM 20249 (firmicutes),Lactobacillus alimentarius,assembly from type material,AZDQ01,marinated fish product
GCF_001435155.1,DSM 15945,Lactobacillus pantheris DSM 15945 = JCM 12539 = NBRC 106106 (firmicutes),Lactobacillus pantheris,,AZFJ01,feces
GCF_001435135.1,DSM 15814,Lactobacillus rossiae DSM 15814 (firmicutes),Lactobacillus rossiae,assembly from type material,AZFF01,wheat sourdough
GCF_001435115.1,DSM 15502,Lactobacillus paracollinoides DSM 15502 = JCM 11969 (firmicutes),Lactobacillus paracollinoides,assembly from type material,AZFD01,brewery environment
GCF_001435095.1,DSM 15429,Lactobacillus spicheri DSM 15429 (firmicutes),Lactobacillus spicheri,assembly from type material,AZFC01,rice sourdough
GCF_001435065.1,DSM 14340,Lactobacillus fuchuensis DSM 14340 = JCM 11249 (firmicutes),Lactobacillus fuchuensis,assembly from type material,AZEX01,vacuum-packaged beef
GCF_001435035.1,DSM 13343,Lactobacillus manihotivorans DSM 13343 = JCM 12514 (firmicutes),Lactobacillus manihotivorans,assembly from type material,AZEU01,cassava sour starch fermentation
GCF_001435015.1,DSM 13335,Lactobacillus iners DSM 13335 (firmicutes),Lactobacillus iners,assembly from type material,AZET01,urine
GCF_001434985.1,DSM 13238,Lactobacillus paralimentarius DSM 13238 = JCM 10415 (firmicutes),Lactobacillus paralimentarius,assembly from type material,AZES01,sourdough
GCF_001434975.1,DSM 10532,Lactobacillus gallinarum DSM 10532 = JCM 2011 (firmicutes),Lactobacillus gallinarum,assembly from type material,AZEL01,crop
GCF_001434945.1,CGMCC 1.1877,Lactobacillus helveticus DSM 20075 = CGMCC 1.1877 (firmicutes),Lactobacillus helveticus,,AZEK01,emmental cheese
GCF_001435375.1,DSM 20653,Lactobacillus aviarius subsp. araffinosus DSM 20653 (firmicutes),Lactobacillus aviarius,assembly from type material,AYYZ01,intestine
GCF_001435325.1,DSM 6629,Lactobacillus intestinalis DSM 6629 (firmicutes),Lactobacillus intestinalis,assembly from type material,AZGN01,intestine
GCF_001435345.1,DSM 8475,Lactobacillus pontis DSM 8475 (firmicutes),Lactobacillus pontis,assembly from type material,AZGO01,rye sourdough
GCF_001435315.1,DSM 5707,Lactobacillus parabuchneri DSM 5707 = NBRC 107865 (firmicutes),Lactobacillus parabuchneri,assembly from type material,AZGK01,saliva
GCF_001435275.1,DSM 5016,Lactobacillus kefiranofaciens subsp. kefiranofaciens DSM 5016 = JCM 6985 (firmicutes),Lactobacillus kefiranofaciens,assembly from type material,AZGG01,kefir grains
GCF_001435245.1,DSM 18793,Lactobacillus equigenerosi DSM 18793 = JCM 14505 (firmicutes),Lactobacillus equigenerosi,assembly from type material,AZGC01,thoroughbred horses
GCF_001435235.1,DSM 18630,Lactobacillus ghanensis DSM 18630 (firmicutes),Lactobacillus ghanensis,assembly from type material,AZGB01,cocoa fermentation
GCF_001435215.1,DSM 16365,Lactobacillus plantarum subsp. argentoratensis DSM 16365 (firmicutes),Lactobacillus plantarum,assembly from type material,AZFR01,fermented cassava roots (fufu)
GCF_001435195.1,DSM 16230,Lactobacillus satsumensis DSM 16230 = JCM 12392 (firmicutes),Lactobacillus satsumensis,assembly from type material,AZFQ01,shochu mash
GCF_001435165.1,DSM 16049,Lactobacillus saerimneri DSM 16049 (firmicutes),Lactobacillus saerimneri,assembly from type material,AZFP01,feces
GCF_001435575.1,DSM 19904,Lactobacillus sunkii DSM 19904 (firmicutes),Lactobacillus sunkii,assembly from type material,AZEA01,non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)
GCF_001435555.1,DSM 19682,Lactobacillus nodensis DSM 19682 = JCM 14932 = NBRC 107160 (firmicutes),Lactobacillus nodensis,assembly from type material,AZDZ01,Japanese pickles
GCF_001435525.1,JCM 16448,Lactobacillus koreensis JCM 16448 (firmicutes),Lactobacillus koreensis,assembly from type material,AZDP01,Kimchi
GCF_001435505.1,JCM 17355,Lactobacillus futsaii JCM 17355 (firmicutes),Lactobacillus futsaii,assembly from type material,AZDO01,"Fu-tsai, a traditional fermented mustard"
GCF_001435495.1,DSM 20019,Lactobacillus curvatus JCM 1096 = DSM 20019 (firmicutes),Lactobacillus curvatus,assembly from type material,AZDL01,milk
GCF_001435475.1,DSM 16041,Lactobacillus antri DSM 16041 (firmicutes),Lactobacillus antri,assembly from type material,AZDK01,"gastric biopsies, stomach mucosa"
GCF_001435425.1,DSM 20004,Lactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535 (firmicutes),Lactobacillus coryniformis,assembly from type material,AZDC01,air of cow shed
GCF_001435445.1,DSM 13961,Lactobacillus paralimentarius DSM 13961 = JCM 10707 (firmicutes),Lactobacillus paralimentarius,assembly from synonym type material,AZDH01,fermented vegetable (kimchi)
GCF_001435405.1,DSM 20021,Lactobacillus rhamnosus DSM 20021 = JCM 1136 = NBRC 3425 (firmicutes),Lactobacillus rhamnosus,assembly from type material,AZCQ01,-
GCF_001435395.1,DSM 20605,Lactobacillus vini DSM 20605 (firmicutes),Lactobacillus vini,assembly from type material,AYYX01,"grape must, fermenting at high temperature"
GCF_001435815.1,DSM 16982,Lactobacillus nantensis DSM 16982 (firmicutes),Lactobacillus nantensis,assembly from type material,AZFV01,wheat sourdough
GCF_001435795.1,DSM 15996,Lactobacillus delbrueckii subsp. indicus DSM 15996 (firmicutes),Lactobacillus delbrueckii,assembly from type material,AZFL01,traditional dairy fermented product (Dahi type)
GCF_001435775.1,DSM 15946,Lactobacillus ingluviei DSM 15946 (firmicutes),Lactobacillus ingluviei,assembly from type material,AZFK01,crop
GCF_001435755.1,DSM 15836,Lactobacillus acidipiscis DSM 15836 (firmicutes),Lactobacillus acidipiscis,,AZFI01,fermented fish
GCF_001435735.1,DSM 15833,Lactobacillus equi DSM 15833 = JCM 10991 (firmicutes),Lactobacillus equi,,AZFH01,feces
GCF_001435715.1,DSM 15831,Lactobacillus sakei subsp. carnosus DSM 15831 (firmicutes),Lactobacillus sakei,assembly from type material,AZFG01,fermented meat product
GCF_001435695.1,DSM 15354,Lactobacillus psittaci DSM 15354 (firmicutes),Lactobacillus psittaci,assembly from type material,AZFB01,lung
GCF_001435655.1,DSM 10667,Lactobacillus paraplantarum DSM 10667 (firmicutes),Lactobacillus paraplantarum,assembly from type material,AZEO01,beer contaminant
GCF_001435665.1,DSM 11664,Lactobacillus amylolyticus DSM 11664 (firmicutes),Lactobacillus amylolyticus,assembly from type material,AZEP01,acidified beer wort
GCF_001435585.1,DSM 12744,Lactobacillus perolens DSM 12744 (firmicutes),Lactobacillus perolens,assembly from type material,AZEC01,orange lemonade
GCF_001436025.1,DSM 13345,Lactobacillus mucosae DSM 13345 (firmicutes),Lactobacillus mucosae,assembly from type material,AZEQ01,small intestine
GCF_001436015.1,DSM 20452,Lactobacillus murinus DSM 20452 = NBRC 14221 (firmicutes),Lactobacillus murinus,assembly from type material,AYYN01,intestine
GCF_001435995.1,DSM 23829,Lactobacillus ozensis DSM 23829 = JCM 17196 (firmicutes),Lactobacillus ozensis,assembly from type material,AYYQ01,
GCF_001435975.1,DSM 20515,Lactobacillus collinoides DSM 20515 = JCM 1123 (firmicutes),Lactobacillus collinoides,assembly from type material,AYYR01,fermenting apple juice
GCF_001435955.1,DSM 20555,Lactobacillus salivarius DSM 20555 = ATCC 11741 (firmicutes),Lactobacillus salivarius,assembly from type material,AYYT01,saliva
GCF_001435935.1,DSM 6035,Lactobacillus panis DSM 6035 (firmicutes),Lactobacillus panis,assembly from type material,AZGM01,sourdough
GCF_001435915.1,DSM 5837,Lactobacillus vaginalis DSM 5837 = ATCC 49540 (firmicutes),Lactobacillus vaginalis,assembly from type material,AZGL01,vaginal swab from patient with trichomoniasis
GCF_001435895.1,DSM 18390,Lactobacillus parafarraginis DSM 18390 = JCM 14109 (firmicutes),Lactobacillus parafarraginis,assembly from type material,AZFZ01,composting material of distilled shochun residue
GCF_001435875.1,DSM 18382,Lactobacillus farraginis DSM 18382 = JCM 14108 (firmicutes),Lactobacillus farraginis,assembly from type material,AZFY01,composting material of distilled shochu residue
GCF_001435835.1,DSM 17758,Lactobacillus concavus DSM 17758 (firmicutes),Lactobacillus concavus,,AZFX01,Walls of a distilled spirit fermenting cellar
GCF_001436225.1,DSM 20505,Lactobacillus sharpeae JCM 1186 = DSM 20505 (firmicutes),Lactobacillus sharpeae,assembly from type material,AYYO01,municipal sewage
GCF_001436215.1,DSM 20509,Lactobacillus agilis DSM 20509 (firmicutes),Lactobacillus agilis,assembly from type material,AYYP01,municipal sewage
GCF_001436185.1,DSM 20533,Lactobacillus amylophilus DSM 20533 = JCM 1125 (firmicutes),Lactobacillus amylophilus,assembly from type material,AYYS01,swine waste-corn fermentation
GCF_001436175.1,DSM 20587,Lactobacillus kefiri DSM 20587 = JCM 5818 (firmicutes),Lactobacillus kefiri,assembly from type material,AYYV01,kefir grains
GCF_001436135.1,DSM 22698,Lactobacillus thailandensis DSM 22698 = JCM 13996 (firmicutes),Lactobacillus thailandensis,,AYZK01,fermented tea leaves (miang)
GCF_001436125.1,DSM 23910,Lactobacillus hominis DSM 23910 = CRBIP 24.179 (firmicutes),Lactobacillus hominis,assembly from type material,AYZP01,intestine
GCF_001436115.1,DSM 23927,Lactobacillus brantae DSM 23927 (firmicutes),Lactobacillus brantae,assembly from type material,AYZQ01,feces of Canada goose
GCF_001436095.1,DSM 20335,Lactobacillus dextrinicus DSM 20335 (firmicutes),Lactobacillus dextrinicus,assembly from type material,AYYK01,silage
GCF_001436035.1,DSM 20451,Lactobacillus sanfranciscensis DSM 20451 (firmicutes),Lactobacillus sanfranciscensis,assembly from type material,AYYM01,San Francisco sourdough
GCF_001436045.1,DSM 13145,Lactobacillus frumenti DSM 13145 (firmicutes),Lactobacillus frumenti,assembly from type material,AZER01,rye-bran sourdough
GCF_001436415.1,DSM 20719,Lactobacillus graminis DSM 20719 (firmicutes),Lactobacillus graminis,assembly from type material,AYZB01,grass silage
GCF_001436385.1,DSM 5622,Lactobacillus paracasei subsp. paracasei DSM 5622 (firmicutes),Lactobacillus paracasei,assembly from type material,AZGH01,-
